drug,extracted_class
gentamicin 0.1% cream,aminoglycoside antibacterial
gentamicin sulfate ophth. ointment,aminoglycoside antibacterial
gentamicin - dosing by pharmacy,aminoglycoside antibacterial
gentamicin 2.5 mg/ml in sodium citrate 4%,aminoglycoside antibacterial
gentak,aminoglycoside antibacterial
neomycin-polymyxin-dexameth,aminoglycoside antibacterial
tobramycin sulfate,aminoglycoside antibacterial
tobramycin,aminoglycoside antibacterial
tobramycin-dexamethasone,aminoglycoside antibacterial
gentamicin,aminoglycoside antibacterial
tobradex opth susp 0.3%/0.1%,aminoglycoside antibacterial
neomycin-polymyxin b-dexameth,aminoglycoside antibacterial
amikacin - dosing by pharmacy,aminoglycoside antibacterial
tobramycin fortified ophth. soln.,aminoglycoside antibacterial
tobramycin in 0.225 % nacl,aminoglycoside antibacterial
genteal tears severe gel,aminoglycoside antibacterial
neomycin-polymyxin-bacitracin ophth. oint,aminoglycoside antibacterial
tobramycin-dexamethasone ophth oint,aminoglycoside antibacterial
tobramycin 0.3% ophth ointment,aminoglycoside antibacterial
amikacin,aminoglycoside antibacterial
neomycin-polymyxin-dexameth ophth. oint,aminoglycoside antibacterial
gentamicin 0.3% ophth. soln,aminoglycoside antibacterial
gentamicin 0.3% ophth. ointment,aminoglycoside antibacterial
tobramycin-dexamethasone ophth susp,aminoglycoside antibacterial
tobramycin inhalation soln,aminoglycoside antibacterial
gentamicin intraventricular,aminoglycoside antibacterial
amikacin inhalation,aminoglycoside antibacterial
neomycin/polymyxin/dexameth ophth susp.,aminoglycoside antibacterial
bupropi,aminoketone
bupro,aminoketone
bupropion,aminoketone
buprop,aminoketone
wellbutrin xl,aminoketone
bupr,aminoketone
bupropion xl (extended release),aminoketone
wellbutrin sr,aminoketone
bupropion xl (once daily),aminoketone
bupropion (sustained release),aminoketone
wellbutrin,aminoketone
wellbut,aminoketone
bupropion ,aminoketone
bupropion hcl,aminoketone
canasa,aminosalicylate
balsalazide,aminosalicylate
colazal,aminosalicylate
mesa,aminosalicylate
mesalamin,aminosalicylate
mes,aminosalicylate
mesalamine (rectal),aminosalicylate
mesalamine 500mg cap,aminosalicylate
sulfasalazine,aminosalicylate
sulfas,aminosalicylate
sulfasalazine_,aminosalicylate
balsal,aminosalicylate
balsalazide 750mg cap,aminosalicylate
sulfazine ec,aminosalicylate
mesalamine enema,aminosalicylate
mesalamine,aminosalicylate
mesalam,aminosalicylate
pentasa,aminosalicylate
sulf,aminosalicylate
mesala,aminosalicylate
mesalamine cr,aminosalicylate
sulfasalazi,aminosalicylate
mesal,aminosalicylate
sulfasalazine dr,aminosalicylate
sulfasalaz,aminosalicylate
mesalamine ,aminosalicylate
mesalamine dr,aminosalicylate
balsa,aminosalicylate
mesalami,aminosalicylate
chloramphenicol na succ,amphenicol-class antibacterial
chloramphenicol na succ *nf*,amphenicol-class antibacterial
testosterone 4 mg patch,androgen
danazol,androgen
testim,androgen
testos,androgen
testosterone propionate,androgen
androgel,androgen
testosterone gel 1%,androgen
*nf* testosterone gel 1% (50 mg),androgen
testosterone 2 mg patch,androgen
"testosterone cyp, micro (bulk)",androgen
testosterone cypionate,androgen
testosterone,androgen
*nf* testosterone gel 1% (25 mg),androgen
enzalutamide,androgen receptor inhibitor
bicalutamide,androgen receptor inhibitor
xtandi,androgen receptor inhibitor
micardis hct,angiotensin 2 receptor blocker
irb,angiotensin 2 receptor blocker
losartan,angiotensin 2 receptor blocker
losartan potassium,angiotensin 2 receptor blocker
candesartan,angiotensin 2 receptor blocker
avapro,angiotensin 2 receptor blocker
*nf* olmesartan medoxomil,angiotensin 2 receptor blocker
valsart,angiotensin 2 receptor blocker
telmisartan,angiotensin 2 receptor blocker
valsarta,angiotensin 2 receptor blocker
valsar,angiotensin 2 receptor blocker
losar,angiotensin 2 receptor blocker
valsartan,angiotensin 2 receptor blocker
irbes,angiotensin 2 receptor blocker
benicar hct,angiotensin 2 receptor blocker
irbesart,angiotensin 2 receptor blocker
*nf* irbesartan,angiotensin 2 receptor blocker
irbesartan,angiotensin 2 receptor blocker
benicar,angiotensin 2 receptor blocker
irbe,angiotensin 2 receptor blocker
micardis,angiotensin 2 receptor blocker
diovan,angiotensin 2 receptor blocker
cozaar,angiotensin 2 receptor blocker
olmesartan,angiotensin 2 receptor blocker
capt,angiotensin converting enzyme inhibitor
lisinopril,angiotensin converting enzyme inhibitor
enalapril maleate,angiotensin converting enzyme inhibitor
capto,angiotensin converting enzyme inhibitor
moexipril,angiotensin converting enzyme inhibitor
captopril,angiotensin converting enzyme inhibitor
inv-enalapril,angiotensin converting enzyme inhibitor
enalaprilat,angiotensin converting enzyme inhibitor
enalapril,angiotensin converting enzyme inhibitor
captopr,angiotensin converting enzyme inhibitor
trandolapril,angiotensin converting enzyme inhibitor
quinapril,angiotensin converting enzyme inhibitor
ramipril,angiotensin converting enzyme inhibitor
praziquantel,anthelmintic
albendazole,anthelmintic
idarubicin hcl,anthracycline topoisomerase inhibitor
idarubicin,anthracycline topoisomerase inhibitor
epirubicin,anthracycline topoisomerase inhibitor
*nf* epirubicin,anthracycline topoisomerase inhibitor
liposomal doxorubicin (doxil),anthracycline topoisomerase inhibitor
daunorubicin,anthracycline topoisomerase inhibitor
doxorubicin,anthracycline topoisomerase inhibitor
ranolazine er,anti-anginal
*nf* ranolazine er,anti-anginal
ranolazine,anti-anginal
ranexa,anti-anginal
heparin sodium,anti-coagulant
heparin intraperitoneal,anti-coagulant
edetate calcium disodium,anti-coagulant
heparin flush,anti-coagulant
heparin (hemodialysis),anti-coagulant
heparin flush crrt (5000 units/ml),anti-coagulant
inv-dalteparin,anti-coagulant
hepa,anti-coagulant
heparin flush (1000 units,anti-coagulant
heparin (for ip use),anti-coagulant
dalteparin,anti-coagulant
heparin,anti-coagulant
heparin flush (100 units/ml),anti-coagulant
heparin (porcine),anti-coagulant
dalt,anti-coagulant
dalteparin (porcine),anti-coagulant
inv dalteparin,anti-coagulant
hepar,anti-coagulant
heparin (impella),anti-coagulant
heparin flush (1000 units/ml),anti-coagulant
heparin flush cvl  (100 units/ml),anti-coagulant
heparin (crrt machine priming),anti-coagulant
heparin flush ,anti-coagulant
hepari,anti-coagulant
hep,anti-coagulant
heparin (1000 units / 500 ml),anti-coagulant
heparin crrt,anti-coagulant
heparin dwell (1000 units/ml),anti-coagulant
heparin flush (5000 units/ml),anti-coagulant
bivalirudin,anti-coagulant
ns,anti-coagulant
heparin desensitization,anti-coagulant
heparin (iabp),anti-coagulant
heparin ,anti-coagulant
argatroban,anti-coagulant
heparin (via anti-xa monitoring),anti-coagulant
mysoline,anti-epileptic agent
phenytoin sodium,anti-epileptic agent
celontin,anti-epileptic agent
phenytoin patch for allergy testing,anti-epileptic agent
felbatol,anti-epileptic agent
phenytoin sodium (iv),anti-epileptic agent
oxcarbazepine,anti-epileptic agent
neurontin,anti-epileptic agent
tiagabine hcl,anti-epileptic agent
tiagabine,anti-epileptic agent
phenytoin infatab,anti-epileptic agent
divalproex,anti-epileptic agent
divalproex sodium er,anti-epileptic agent
dilantin,anti-epileptic agent
divalpro,anti-epileptic agent
celontin (methsuximide),anti-epileptic agent
valproic,anti-epileptic agent
divalproex (extended release),anti-epileptic agent
fosphenytoin,anti-epileptic agent
valpro,anti-epileptic agent
phenytoin,anti-epileptic agent
venlafaxine,anti-epileptic agent
dilantin ,anti-epileptic agent
divalproe,anti-epileptic agent
valproate sodium,anti-epileptic agent
zarontin,anti-epileptic agent
divalproex sodium,anti-epileptic agent
phenytoin ,anti-epileptic agent
depa,anti-epileptic agent
depakote spr,anti-epileptic agent
divalproex ,anti-epileptic agent
valpr,anti-epileptic agent
divalpr,anti-epileptic agent
felbamate,anti-epileptic agent
oxcarba,anti-epileptic agent
oxcar,anti-epileptic agent
depakene,anti-epileptic agent
diva,anti-epileptic agent
ethosux,anti-epileptic agent
oxcarb,anti-epileptic agent
oxcarbazepine oral suspension,anti-epileptic agent
valproat,anti-epileptic agent
zonisamide,anti-epileptic agent
dilantin infatabs,anti-epileptic agent
phenytoin (suspension),anti-epileptic agent
divalproex (delayed release),anti-epileptic agent
valproic acid,anti-epileptic agent
trileptal,anti-epileptic agent
divalp,anti-epileptic agent
oxcarbaz,anti-epileptic agent
ethosuximide,anti-epileptic agent
valproic ,anti-epileptic agent
dilantin kapseal,anti-epileptic agent
dilantin extended,anti-epileptic agent
dil,anti-epileptic agent
divalproex sod. sprinkles,anti-epileptic agent
depakote sprin,anti-epileptic agent
depakote,anti-epileptic agent
depakote er,anti-epileptic agent
dila,anti-epileptic agent
gaba,anti-epileptic agent
dival,anti-epileptic agent
valproic acid (as sodium salt),anti-epileptic agent
depak,anti-epileptic agent
primidone,anti-epileptic agent
valproic acid (depakene brand),anti-epileptic agent
oxcarbazepin,anti-epileptic agent
trileptal (oxcarbazepine) 150mg tab,anti-epileptic agent
gabitril,anti-epileptic agent
phenytoin sodium extended,anti-epileptic agent
gabapentin,anti-epileptic agent
phenytoi,anti-epileptic agent
trile,anti-epileptic agent
gabapentin (liquid),anti-epileptic agent
valp,anti-epileptic agent
omalizumab,anti-ige
xolair,anti-ige
sotalol af,antiarrhythmic
quinidine gluconate,antiarrhythmic
procainamide,antiarrhythmic
quinidine sulfate,antiarrhythmic
propafenone (immediate release),antiarrhythmic
dronedarone,antiarrhythmic
mexiletine,antiarrhythmic
sotalol,antiarrhythmic
rythmol,antiarrhythmic
amiodarone,antiarrhythmic
quinidine gluconate e.r.,antiarrhythmic
propafenone,antiarrhythmic
propafenone hcl,antiarrhythmic
ibutilide fumarate,antiarrhythmic
amiodarone ,antiarrhythmic
flecainide,antiarrhythmic
rythmol sr,antiarrhythmic
disopyramide cr,antiarrhythmic
disopyramide phosphate,antiarrhythmic
quinidine,antiarrhythmic
propafen,antiarrhythmic
flecainide acetate,antiarrhythmic
dofetilide,antiarrhythmic
benztropine,anticholinergic
ipratropium bromide hfa,anticholinergic
iprat,anticholinergic
atrovent neb.,anticholinergic
ipratropium-albuterol neb,anticholinergic
scopolamine patch,anticholinergic
spiriva respimat,anticholinergic
atrovent,anticholinergic
donnatal,anticholinergic
combiv,anticholinergic
ipratropium ,anticholinergic
ipr,anticholinergic
combivent,anticholinergic
atropine sulfate,anticholinergic
glycopyrrolate,anticholinergic
albuterol-ipratropium,anticholinergic
dicyclomine,anticholinergic
glycopyrrolate (cvicu reversal protocol),anticholinergic
ipratropium bromide mdi,anticholinergic
anoro ellipta,anticholinergic
ipratropium bromide neb,anticholinergic
benztropine mesylate,anticholinergic
atrovent hfa,anticholinergic
tiotropium bromide,anticholinergic
atropine sulfate ophth 1%,anticholinergic
ipratropium-al,anticholinergic
atropine ,anticholinergic
combivent respimat,anticholinergic
ipratropium-albuterol inhal. spray,anticholinergic
umeclidinium-vilanterol,anticholinergic
ipratropium-albuterol,anticholinergic
combi,anticholinergic
ipratropium,anticholinergic
atropine sulfate 1%,anticholinergic
tropicamide 0.5% ophth soln,anticholinergic
spiriva with handihaler,anticholinergic
glyco,anticholinergic
scopolamine base,anticholinergic
ipra,anticholinergic
ipratropium bromide,anticholinergic
tropicamide 1 %,anticholinergic
ipratropium-albuterol inhalation spray,anticholinergic
robinul,anticholinergic
atropine,anticholinergic
diphenoxylate-atropine,antidiarrheal
fomepizole,antidote
acetylcys,antidote
acetylcysteine (iv),antidote
acetylcysteine 20%,antidote
acetylcy,antidote
hydroxocobalamin,antidote
acetylc,antidote
acetylcysteine,antidote
acety,antidote
acetylcyste,antidote
acetylcystei,antidote
acetylcystein,antidote
acetylcysteine ,antidote
acetylcysteine inhaled - for interventional pulmonary use only,antidote
acetylcysteine inhaled – for interventional pulmonary use only,antidote
acetyl,antidote
meclizine,antiemetic
trimethobenzamide,antiemetic
tranexami,antifibrinolytic agent
tranexamic acid,antifibrinolytic agent
amin,antifibrinolytic agent
tranexamic ,antifibrinolytic agent
aminoca,antifibrinolytic agent
tranexamic acid oral solution,antifibrinolytic agent
tran,antifibrinolytic agent
amicar,antifibrinolytic agent
aminocaproic aci,antifibrinolytic agent
aminocaproi,antifibrinolytic agent
tranexamic,antifibrinolytic agent
amino,antifibrinolytic agent
aminocaproic ,antifibrinolytic agent
aminocaproic acid 25% oral rinse,antifibrinolytic agent
tranexa,antifibrinolytic agent
aminocap,antifibrinolytic agent
aminocaproic acid 25 % oral rinse,antifibrinolytic agent
aminocaproic acid,antifibrinolytic agent
aminocapr,antifibrinolytic agent
aminocaproic acid ,antifibrinolytic agent
aminocaproic,antifibrinolytic agent
aminoc,antifibrinolytic agent
aminocapro,antifibrinolytic agent
hydroxyzine,antihistamine
hydr,antihistamine
diclegis,antihistamine
doxylamine-pyridoxine,antihistamine
hydroxyzine hcl,antihistamine
atovaquone,antimalarial
atovaquone suspension,antimalarial
malarone,antimalarial
chloroquine,antimalarial
atovaquone-proguanil,antimalarial
atovaquone-proguanil (250mg-100mg),antimalarial
quinine sulfate,antimalarial
primaquine phosphate,antimalarial
thioguanine,antimetabolite
hydroxyurea suspension,antimetabolite
hydroxyurea,antimetabolite
cellcept,antimetabolite immunosuppressant
myfort,antimetabolite immunosuppressant
mycophenolate mofetil,antimetabolite immunosuppressant
mycophenolate mofetil (self med),antimetabolite immunosuppressant
mycophenolate mofetil ,antimetabolite immunosuppressant
mycoph,antimetabolite immunosuppressant
mycophenolate mofetil suspension,antimetabolite immunosuppressant
mycophenol,antimetabolite immunosuppressant
mycophenolate ,antimetabolite immunosuppressant
mycophenolate sodium,antimetabolite immunosuppressant
mycophenolate mofetil (brand) *nf*,antimetabolite immunosuppressant
mycophenolat,antimetabolite immunosuppressant
mycophenolate mofe,antimetabolite immunosuppressant
mycopheno,antimetabolite immunosuppressant
mycophenolate,antimetabolite immunosuppressant
myfortic,antimetabolite immunosuppressant
mycophenolate sodium dr,antimetabolite immunosuppressant
mycophen,antimetabolite immunosuppressant
capreomycin *nf* ,antimycobacterial
pyrazinamide,antimycobacterial
isoniazid,antimycobacterial
ethambutol hcl,antimycobacterial
ethionamide,antimycobacterial
ivermectin,antiparasitic
paromomycin,antiprotozoal
pentamidine-inhalation,antiprotozoal
alinia,antiprotozoal
*nf* nitazoxanide,antiprotozoal
nitazoxanide,antiprotozoal
pentamidine inhalation,antiprotozoal
pentamidine isethionate,antiprotozoal
leflun,antirheumatic agent
leflunomide,antirheumatic agent
leflunomide 10mg tab,antirheumatic agent
hydroxychloroq,antirheumatic agent
lefl,antirheumatic agent
penicillamine,antirheumatic agent
hydroxychloroquine sulfate,antirheumatic agent
*nf* leflunomide,antirheumatic agent
hydroxychloroquine,antirheumatic agent
lefluno,antirheumatic agent
lef,antirheumatic agent
hydroxychloroquine sulfate(plaquenil brand),antirheumatic agent
arava,antirheumatic agent
exem,aromatase inhibitor
anas,aromatase inhibitor
*nf* exemestane,aromatase inhibitor
exe,aromatase inhibitor
anastrozole,aromatase inhibitor
aromasin,aromatase inhibitor
femara,aromatase inhibitor
exemestane,aromatase inhibitor
exemes,aromatase inhibitor
inv-letrozole  2.5 mg\ 0 mg po 1x/day on days 1-28,aromatase inhibitor
letrozole,aromatase inhibitor
carbidopa-levodopa (25-250),aromatic amino acid
carbidopa-levodopa (25-250) odt,aromatic amino acid
carbidopa-levodopa ,aromatic amino acid
carbidopa-levodopa cr (50-200),aromatic amino acid
carbidopa-levodopa (25-100) odt,aromatic amino acid
carbidopa-levodopa cr (25-100),aromatic amino acid
carbidopa-levodopa (25-100),aromatic amino acid
carbidopa-levodopa cr ,aromatic amino acid
carbidopa-levodopa (10-100),aromatic amino acid
calcitriol,aromatic amino acid
carbidopa-levodopa,aromatic amino acid
hydralazine,arteriolar vasodilator
minoxidil,arteriolar vasodilator
risperidone (disintegrating tablet),atypical antipsychotic
paliperidone er,atypical antipsychotic
risperdal,atypical antipsychotic
asenapine,atypical antipsychotic
quetiap,atypical antipsychotic
abilify,atypical antipsychotic
ola,atypical antipsychotic
luras,atypical antipsychotic
aripip,atypical antipsychotic
clozapine,atypical antipsychotic
ziprasidone hcl,atypical antipsychotic
zyprexa zydis,atypical antipsychotic
olanzap,atypical antipsychotic
invega,atypical antipsychotic
lurasidone (latuda),atypical antipsychotic
latuda,atypical antipsychotic
invega sustenna,atypical antipsychotic
ziprasidone,atypical antipsychotic
quetiapine fumarate,atypical antipsychotic
lurasidone *nf*,atypical antipsychotic
quetiapine extended-release,atypical antipsychotic
quetiapin,atypical antipsychotic
ziprasidone hydrochloride,atypical antipsychotic
olanzapine (disintegrating tablet),atypical antipsychotic
rexulti,atypical antipsychotic
quetiapine,atypical antipsychotic
olan,atypical antipsychotic
seroquel,atypical antipsychotic
quetiapine suspension (seroquel brand),atypical antipsychotic
invega trinza,atypical antipsychotic
paliperidone,atypical antipsychotic
olanz,atypical antipsychotic
lur,atypical antipsychotic
zydis,atypical antipsychotic
zypre,atypical antipsychotic
aripiprazole,atypical antipsychotic
zip,atypical antipsychotic
olanzapine,atypical antipsychotic
risperidone oral solution,atypical antipsychotic
cariprazine,atypical antipsychotic
brexpiprazole,atypical antipsychotic
iloperidone,atypical antipsychotic
paliperidone palmitate,atypical antipsychotic
quet,atypical antipsychotic
olanza,atypical antipsychotic
quetiapine oral suspension,atypical antipsychotic
vraylar,atypical antipsychotic
seroq,atypical antipsychotic
risperidone,atypical antipsychotic
ziprasidone mesylate,atypical antipsychotic
olanzapi,atypical antipsychotic
lurasidone,atypical antipsychotic
fluconazole,azole antifungal
itraconazole solution,azole antifungal
itraconazole ,azole antifungal
ketoconazole,azole antifungal
clotrimazole,azole antifungal
diflucan,azole antifungal
voriconazole crush tab,azole antifungal
cresemba,azole antifungal
itraconazole,azole antifungal
posaconazole desensitization,azole antifungal
voriconazole 1% ophth. soln,azole antifungal
ketoconazole ,azole antifungal
terconazole 80mg vag. supp,azole antifungal
vorico,azole antifungal
fluco,azole antifungal
isavuconazonium sulfate,azole antifungal
ketoconazole 2% ,azole antifungal
voriconazole,azole antifungal
posaconazole delayed release tablet,azole antifungal
ketoconazole shampoo,azole antifungal
fluconazole suspension,azole antifungal
posaconazole suspension,azole antifungal
terconazole 0.4% vag. cream,azole antifungal
posaconazole,azole antifungal
posaco,azole antifungal
belimumab,b lymphocyte stimulator-specific inhibitor
aspir,barbiturate
acetaminophen,barbiturate
fiorinal,barbiturate
butalbit,barbiturate
fio,barbiturate
fioricet,barbiturate
buta,barbiturate
butalbital-aspirin-caffeine,barbiturate
aspirin-caffeine-butalbital,barbiturate
butalbital,barbiturate
acetaminophen-caff-butalbital,barbiturate
butalbita,barbiturate
butalbital-acetaminophen-caff,barbiturate
fiori,barbiturate
venetoclax,bcl-2 inhibitor
inv-venetoclax,bcl-2 inhibitor
lorazepam 2mg syringa,benzodiazepine
lorazepam 2 mg syringe,benzodiazepine
loraze,benzodiazepine
chlordiazepoxide,benzodiazepine
triazol,benzodiazepine
lorazepam 2mg syringe,benzodiazepine
diazepam *nf*,benzodiazepine
chlordiazepoxide hcl,benzodiazepine
lorazepam oral solution,benzodiazepine
*nf* triazolam,benzodiazepine
temazepam,benzodiazepine
midazolam intradermal,benzodiazepine
2,benzodiazepine
diastat,benzodiazepine
clorazepate dipotassium,benzodiazepine
valium,benzodiazepine
triazolam,benzodiazepine
lorazepam 2 mg syringe ,benzodiazepine
ativan,benzodiazepine
lorazepam,benzodiazepine
midazolam,benzodiazepine
triaz,benzodiazepine
lorazepam 2mg syringe ,benzodiazepine
clobazam,benzodiazepine
diaz,benzodiazepine
*nf* halcion,benzodiazepine
diazepam,benzodiazepine
oxazepam,benzodiazepine
diastat acudial,benzodiazepine
clonazepam,benzodiazepine
alprazolam,benzodiazepine
diazepam - ciwa protocol,benzodiazepine
lora,benzodiazepine
flumazenil,benzodiazepine antagonist
riluzole,benzothiazole
piperacillin-tazobactam na,beta lactamase inhibitor
ampicillin-sulbactam,beta lactamase inhibitor
piperacillin-tazobactam,beta lactamase inhibitor
dobutamine,beta-adrenergic agonist
isoproterenol,beta-adrenergic agonist
isoproterenol hcl,beta-adrenergic agonist
nebivolol,beta-adrenergic blocker
